address;manager;name;category;phone;website;description;dailycounter;avatar
11;938;Studio Naim;Sport;0774603483;http://www.naim.org.il/locations/rothschild/;At the beginning of Rothschild Avenue (just off Neve Tzedek) we have our third studio with Yoga and mat Pilates classes.   ;150;http://www.naim.org.il/wp-content/uploads/2015/06/naim-logo-272-90.png
15;932;Or Hayoga;Sport;035255052;https://www.oryoga.com/;Or Hayoga offers a wide variety of classes with different teachers, methods of practice and levels.;350;https://www.oryoga.com/application/assets/images/logo-full.png
20;931;Studio Sol;Sport;039022630;http://www.soltlv.com/;Hot Yoga. Hot Pilates. Hot Everything.;400;https://www.soltlv.com/wp-content/uploads/2018/09/Studio-SOL-TLV-logo.png
26;921;EllaYoga;Sport;035444881;https://www.ellayoga.com/;ElaYoga in Tel Aviv Port, facing the sea,  offering you to free a moment.;650;https://i.imgur.com/sBBYO2w.jpg
31;917;Lotus;Sport;036026606;https://lotusyoga.co.il/;A place to quiet the noise and soothe the soul;423;https://i.imgur.com/feLfwCw.png
